Gene stable ID	Gene stable ID version	Gene start (bp)	Gene end (bp)	Chromosome/scaffold name	Gene name
ENSG00000163468	ENSG00000163468.15	156308968	156367873	1	CCT3
ENSG00000100938	ENSG00000100938.19	24232422	24239242	14	GMPR2
ENSG00000177105	ENSG00000177105.10	3826978	3840959	11	RHOG
ENSG00000115226	ENSG00000115226.10	27491883	27495200	2	FNDC4
ENSG00000015592	ENSG00000015592.17	27235308	27258420	8	STMN4
ENSG00000158792	ENSG00000158792.16	89696357	89701705	16	SPATA2L
ENSG00000135454	ENSG00000135454.14	57623409	57633239	12	B4GALNT1
ENSG00000075399	ENSG00000075399.14	89707134	89720898	16	VPS9D1
ENSG00000138002	ENSG00000138002.16	27444377	27489805	2	IFT172
ENSG00000172006	ENSG00000172006.12	2819868	2836735	19	ZNF554
ENSG00000186300	ENSG00000186300.12	2841437	2860471	19	ZNF555
ENSG00000131165	ENSG00000131165.16	89640816	89657738	16	CHMP1A
ENSG00000172000	ENSG00000172000.7	2867335	2883445	19	ZNF556
ENSG00000158457	ENSG00000158457.6	129144707	129169699	7	TSPAN33
ENSG00000101004	ENSG00000101004.16	25451594	25585531	20	NINL
ENSG00000079999	ENSG00000079999.14	10486125	10503558	19	KEAP1
ENSG00000128602	ENSG00000128602.11	129188633	129213545	7	SMO
ENSG00000135452	ENSG00000135452.10	57738013	57750219	12	TSPAN31
ENSG00000102226	ENSG00000102226.10	47232866	47248328	X	USP11
ENSG00000153132	ENSG00000153132.13	140388453	140427661	4	CLGN
ENSG00000187079	ENSG00000187079.20	12674421	12944737	11	TEAD1
ENSG00000150281	ENSG00000150281.7	30896614	30903547	16	CTF1
ENSG00000125510	ENSG00000125510.18	64080082	64100643	20	OPRL1
ENSG00000088827	ENSG00000088827.14	3686970	3712600	20	SIGLEC1
ENSG00000130734	ENSG00000130734.10	10543895	10553418	19	ATG4D
ENSG00000147588	ENSG00000147588.7	81440326	81447439	8	PMP2
ENSG00000103194	ENSG00000103194.16	84699986	84779922	16	USP10
ENSG00000106571	ENSG00000106571.15	41960949	42264100	7	GLI3
ENSG00000135446	ENSG00000135446.17	57747727	57756013	12	CDK4
ENSG00000205186	ENSG00000205186.4	81458253	81461579	8	FABP9
ENSG00000170323	ENSG00000170323.9	81478419	81483236	8	FABP4
ENSG00000132507	ENSG00000132507.18	7306999	7312463	17	EIF5A
ENSG00000205301	ENSG00000205301.12	140442262	140498377	4	MGAT4D
ENSG00000071889	ENSG00000071889.17	154506159	154516242	X	FAM3A
ENSG00000133731	ENSG00000133731.10	81656914	81686331	8	IMPA1
ENSG00000085733	ENSG00000085733.16	70398404	70436584	11	CTTN
ENSG00000132677	ENSG00000132677.13	156369211	156385219	1	RHBG
ENSG00000179387	ENSG00000179387.10	140524168	140553770	4	ELMOD2
ENSG00000064270	ENSG00000064270.13	84368527	84464187	16	ATP2C2
ENSG00000170419	ENSG00000170419.11	54542325	54571080	7	VSTM2A
ENSG00000152939	ENSG00000152939.17	69415065	69444330	5	MARVELD2
ENSG00000109424	ENSG00000109424.4	140559431	140568961	4	UCP1
ENSG00000139266	ENSG00000139266.6	57755103	57760411	12	MARCHF9
ENSG00000105926	ENSG00000105926.16	24573268	24694193	7	PALS2
ENSG00000138794	ENSG00000138794.10	109688622	109703583	4	CASP6
ENSG00000123427	ENSG00000123427.17	57771492	57782541	12	EEF1AKMT3
ENSG00000254726	ENSG00000254726.3	156072013	156082465	1	MEX3A
ENSG00000186377	ENSG00000186377.8	47023669	47050751	1	CYP4X1
ENSG00000204560	ENSG00000204560.10	30653119	30673006	6	DHX16
ENSG00000186160	ENSG00000186160.5	47067231	47118318	1	CYP4Z1
ENSG00000183474	ENSG00000183474.16	69560191	69595221	5	GTF2H2C
ENSG00000123739	ENSG00000123739.11	109709989	109730070	4	PLA2G12A
ENSG00000162366	ENSG00000162366.8	47183582	47191044	1	PDZK1IP1
ENSG00000138286	ENSG00000138286.15	73168119	73244504	10	FAM149B1
ENSG00000186790	ENSG00000186790.6	47416285	47418052	1	FOXE3
ENSG00000189030	ENSG00000189030.10	156298624	156299307	1	VHLL
ENSG00000162763	ENSG00000162763.4	165544000	165563957	1	LRRC52
ENSG00000143061	ENSG00000143061.18	116574399	116667755	1	IGSF3
ENSG00000136267	ENSG00000136267.14	14145049	14974777	7	DGKB
ENSG00000129355	ENSG00000129355.7	10566460	10569059	19	CDKN2D
ENSG00000129354	ENSG00000129354.12	10572671	10587315	19	AP1M2
ENSG00000182103	ENSG00000182103.5	82729940	82733864	11	FAM181B
ENSG00000180245	ENSG00000180245.7	109827972	109849123	4	RRH
ENSG00000137509	ENSG00000137509.12	82822936	82970584	11	PRCP
ENSG00000010539	ENSG00000010539.12	3222325	3236221	16	ZNF200
ENSG00000203879	ENSG00000203879.12	154436913	154443467	X	GDI1
ENSG00000165805	ENSG00000165805.10	87980035	88034037	12	C12orf50
ENSG00000213551	ENSG00000213551.7	73183362	73247255	10	DNAJC9
ENSG00000204574	ENSG00000204574.14	30571393	30597179	6	ABCF1
ENSG00000135821	ENSG00000135821.19	182378098	182392206	1	GLUL
ENSG00000183423	ENSG00000183423.12	109848107	109872315	4	LRIT3
ENSG00000253598	ENSG00000253598.3	81693631	81695058	8	SLC10A5
ENSG00000104231	ENSG00000104231.11	81701334	81732903	8	ZFAND1
ENSG00000004866	ENSG00000004866.22	116953238	117230176	7	ST7
ENSG00000138279	ENSG00000138279.16	73375101	73414076	10	ANXA7
ENSG00000129353	ENSG00000129353.15	10602457	10644557	19	SLC44A2
ENSG00000170365	ENSG00000170365.10	145481194	145559176	4	SMAD1
ENSG00000007392	ENSG00000007392.17	188969	229463	16	LUC7L
ENSG00000215041	ENSG00000215041.10	7315628	7329393	17	NEURL4
ENSG00000102312	ENSG00000102312.24	48508959	48520814	X	PORCN
ENSG00000158113	ENSG00000158113.13	122167738	122203471	12	LRRC43
ENSG00000048740	ENSG00000048740.19	10798397	11336675	10	CELF2
ENSG00000151611	ENSG00000151611.17	145599042	145660033	4	MMAA
ENSG00000188747	ENSG00000188747.9	137423350	137434406	9	NOXA1
ENSG00000277535	ENSG00000277535.4	119072993	119076765	X	
ENSG00000183918	ENSG00000183918.18	124227868	124373197	X	SH2D1A
ENSG00000203740	ENSG00000203740.4	170145959	170168866	1	NTMT2
ENSG00000176383	ENSG00000176383.9	122203681	122208952	12	B3GNT4
ENSG00000197822	ENSG00000197822.12	69492292	69558104	5	OCLN
ENSG00000162374	ENSG00000162374.18	50024029	50203772	1	ELAVL4
ENSG00000147246	ENSG00000147246.10	114584078	114910061	X	HTR2C
ENSG00000082269	ENSG00000082269.17	70412941	70561174	6	FAM135A
ENSG00000139719	ENSG00000139719.11	122229564	122266494	12	VPS33A
ENSG00000145242	ENSG00000145242.14	65319563	65670495	4	EPHA5
ENSG00000213339	ENSG00000213339.9	10701430	10713437	19	QTRT1
ENSG00000113396	ENSG00000113396.13	128538013	129033642	5	SLC27A6
ENSG00000137073	ENSG00000137073.24	33921693	34049388	9	UBAP2
ENSG00000139880	ENSG00000139880.21	23047062	23057538	14	CDH24
ENSG00000137460	ENSG00000137460.10	152936323	152979671	4	FHDC1
ENSG00000211460	ENSG00000211460.12	121737103	121767853	2	TSN
ENSG00000129187	ENSG00000129187.15	182890060	182917936	4	DCTD
ENSG00000066583	ENSG00000066583.12	129094749	129114028	5	ISOC1
ENSG00000151332	ENSG00000151332.20	36298564	36320637	14	MBIP
ENSG00000099203	ENSG00000099203.7	10832067	10836318	19	TMED1
ENSG00000162086	ENSG00000162086.16	3305406	3318852	16	ZNF75A
ENSG00000120802	ENSG00000120802.14	98515579	98550351	12	TMPO
ENSG00000010438	ENSG00000010438.17	33750679	33799231	9	PRSS3
ENSG00000164695	ENSG00000164695.5	81732448	81759515	8	CHMP4C
ENSG00000171617	ENSG00000171617.15	74627406	74641424	5	ENC1
ENSG00000241563	ENSG00000241563.4	10450031	10451998	1	CORT
ENSG00000121989	ENSG00000121989.15	147844517	147930826	2	ACVR2A
ENSG00000130844	ENSG00000130844.19	53519527	53580269	19	ZNF331
ENSG00000148339	ENSG00000148339.13	128068201	128109245	9	SLC25A25
ENSG00000112893	ENSG00000112893.10	109689927	109869625	5	MAN2A1
ENSG00000066427	ENSG00000066427.25	92044496	92106621	14	ATXN3
ENSG00000137473	ENSG00000137473.19	146706617	146945882	4	TTC29
ENSG00000137502	ENSG00000137502.10	82973133	83071923	11	RAB30
ENSG00000158669	ENSG00000158669.11	41577187	41625001	8	GPAT4
ENSG00000072818	ENSG00000072818.12	7336529	7351477	17	ACAP1
ENSG00000139194	ENSG00000139194.8	7115736	7128889	12	RBP5
ENSG00000183137	ENSG00000183137.15	109095110	109174418	6	CEP57L1
ENSG00000113739	ENSG00000113739.11	173314723	173328447	5	STC2
ENSG00000139182	ENSG00000139182.15	7129698	7158945	12	CLSTN3
ENSG00000138756	ENSG00000138756.19	78776342	78916365	4	BMP2K
ENSG00000174282	ENSG00000174282.12	7459366	7484263	17	ZBTB4
ENSG00000182613	ENSG00000182613.3	181147586	181159285	5	OR2V2
ENSG00000113108	ENSG00000113108.20	140558268	140564781	5	APBB3
ENSG00000147533	ENSG00000147533.19	41488200	41511095	8	GOLGA7
ENSG00000137094	ENSG00000137094.16	34989641	34998900	9	DNAJB5
ENSG00000166484	ENSG00000166484.20	19377721	19383544	17	MAPK7
ENSG00000188076	ENSG00000188076.3	193078	194575	11	SCGB1C1
ENSG00000122386	ENSG00000122386.11	3112560	3120517	16	ZNF205
ENSG00000142082	ENSG00000142082.15	215030	236931	11	SIRT3
ENSG00000151247	ENSG00000151247.13	98879276	98929133	4	EIF4E
ENSG00000156869	ENSG00000156869.14	99703970	99766635	1	FRRS1
ENSG00000177239	ENSG00000177239.16	137086857	137109189	9	MAN1B1
ENSG00000166816	ENSG00000166816.15	75111860	75116780	16	LDHD
ENSG00000174885	ENSG00000174885.13	278407	285388	11	NLRP6
ENSG00000033122	ENSG00000033122.21	69567922	70151945	1	LRRC7
ENSG00000204406	ENSG00000204406.14	148021011	148516971	2	MBD5
ENSG00000136371	ENSG00000136371.11	79833585	79897379	15	MTHFS
ENSG00000166268	ENSG00000166268.11	69825227	69959097	12	MYRFL
ENSG00000059122	ENSG00000059122.17	2911931	2951208	16	FLYWCH1
ENSG00000166482	ENSG00000166482.12	19383442	19387190	17	MFAP4
ENSG00000152583	ENSG00000152583.13	87473335	87531061	4	SPARCL1
ENSG00000086666	ENSG00000086666.19	80059568	80138393	15	ZFAND6
ENSG00000009694	ENSG00000009694.14	124375903	125204312	X	TENM1
ENSG00000136834	ENSG00000136834.3	122476958	122477926	9	OR1J1
ENSG00000197233	ENSG00000197233.7	122510802	122511743	9	OR1J2
ENSG00000239590	ENSG00000239590.1	122519141	122520082	9	OR1J4
ENSG00000171505	ENSG00000171505.5	122526358	122527296	9	OR1N1
ENSG00000171501	ENSG00000171501.10	122553112	122555173	9	OR1N2
ENSG00000165202	ENSG00000165202.3	122614738	122615682	9	OR1Q1
ENSG00000135643	ENSG00000135643.5	70366290	70434292	12	KCNMB4
ENSG00000173679	ENSG00000173679.2	122661566	122662648	9	OR1L1
ENSG00000156042	ENSG00000156042.19	73253762	73358864	10	CFAP70
ENSG00000107249	ENSG00000107249.24	3824127	4348392	9	GLIS3
ENSG00000166164	ENSG00000166164.16	50313487	50368988	16	BRD7
ENSG00000175899	ENSG00000175899.15	9067664	9116229	12	A2M
ENSG00000206013	ENSG00000206013.2	298200	299526	11	IFITM5
ENSG00000182272	ENSG00000182272.12	369499	382117	11	B4GALNT4
ENSG00000143278	ENSG00000143278.5	197038741	197067260	1	F13B
ENSG00000128482	ENSG00000128482.16	19411125	19417276	17	RNF112
ENSG00000116678	ENSG00000116678.20	65420652	65641559	1	LEPR
ENSG00000015568	ENSG00000015568.13	109792758	109857705	2	RGPD5
ENSG00000184363	ENSG00000184363.10	392614	404908	11	PKP3
ENSG00000128591	ENSG00000128591.16	128830406	128859274	7	FLNC
ENSG00000124786	ENSG00000124786.12	8411435	8435561	6	SLC35B3
ENSG00000109771	ENSG00000109771.16	185363872	185395924	4	LRP2BP
ENSG00000175787	ENSG00000175787.17	94259298	94301829	9	ZNF169
ENSG00000179148	ENSG00000179148.10	8095900	8119047	17	ALOXE3
ENSG00000185187	ENSG00000185187.13	405716	417455	11	SIGIRR
ENSG00000101916	ENSG00000101916.12	12906620	12923169	X	TLR8
ENSG00000157335	ENSG00000157335.21	70173322	70187361	16	CLEC18C
ENSG00000205542	ENSG00000205542.11	12975110	12977227	X	TMSB4X
ENSG00000165678	ENSG00000165678.22	84139482	84154841	10	GHITM
ENSG00000105723	ENSG00000105723.13	42226225	42242625	19	GSK3A
ENSG00000158856	ENSG00000158856.19	22048995	22082527	8	DMTN
ENSG00000130957	ENSG00000130957.5	94558720	94593824	9	FBP2
ENSG00000187268	ENSG00000187268.12	13035617	13044682	X	FAM9C
ENSG00000047936	ENSG00000047936.11	117287353	117425942	6	ROS1
ENSG00000148600	ENSG00000148600.15	84194537	84219621	10	CDHR1
ENSG00000165140	ENSG00000165140.12	94603133	94640249	9	FBP1
ENSG00000185527	ENSG00000185527.12	81650459	81663112	17	PDE6G
ENSG00000169777	ENSG00000169777.7	9627347	9712378	5	TAS2R1
ENSG00000106780	ENSG00000106780.9	120600811	120714470	9	MEGF9
ENSG00000175182	ENSG00000175182.15	184335926	184348421	3	FAM131A
ENSG00000146094	ENSG00000146094.16	177501904	177511274	5	DOK3
ENSG00000185101	ENSG00000185101.13	417933	442011	11	ANO9
ENSG00000166148	ENSG00000166148.4	63142759	63151201	12	AVPR1A
ENSG00000110987	ENSG00000110987.9	122019422	122062044	12	BCL7A
ENSG00000183048	ENSG00000183048.12	81712236	81721016	17	SLC25A10
ENSG00000144063	ENSG00000144063.4	110083870	110116022	2	MALL
ENSG00000174099	ENSG00000174099.12	65278643	65491430	12	MSRB3
ENSG00000197935	ENSG00000197935.7	28994785	29005316	6	ZNF311
ENSG00000204033	ENSG00000204033.10	84220571	84225544	10	LRIT2
ENSG00000105732	ENSG00000105732.13	42068477	42081552	19	ZNF574
ENSG00000186468	ENSG00000186468.13	82273320	82278396	5	RPS23
ENSG00000152894	ENSG00000152894.15	127968785	128520616	6	PTPRK
ENSG00000148604	ENSG00000148604.15	84230666	84259960	10	RGR
ENSG00000175591	ENSG00000175591.12	73218281	73242427	11	P2RY2
ENSG00000160570	ENSG00000160570.14	42198598	42220140	19	DEDD2
ENSG00000186765	ENSG00000186765.12	81528377	81537130	17	FSCN2
ENSG00000101966	ENSG00000101966.14	123859712	123913972	X	XIAP
ENSG00000114859	ENSG00000114859.16	184346185	184361650	3	CLCN2
ENSG00000171631	ENSG00000171631.16	73264498	73305103	11	P2RY6
ENSG00000108469	ENSG00000108469.15	75626845	75667189	17	RECQL5
ENSG00000010310	ENSG00000010310.9	45668221	45683722	19	GIPR
ENSG00000158710	ENSG00000158710.15	159918107	159925507	1	TAGLN2
ENSG00000140379	ENSG00000140379.9	79960892	79971196	15	BCL2A1
ENSG00000147044	ENSG00000147044.23	41514934	41923554	X	CASK
ENSG00000148602	ENSG00000148602.6	84231520	84241546	10	LRIT1
ENSG00000168916	ENSG00000168916.16	124636913	124748807	5	ZNF608
ENSG00000197150	ENSG00000197150.13	151028422	151047782	7	ABCB8
ENSG00000026025	ENSG00000026025.16	17228241	17237593	10	VIM
ENSG00000185885	ENSG00000185885.17	310041	315272	11	IFITM1
ENSG00000110881	ENSG00000110881.12	50057548	50083611	12	ASIC1
ENSG00000049239	ENSG00000049239.13	9234774	9271337	1	H6PD
ENSG00000166257	ENSG00000166257.10	123629187	123655244	11	SCN3B
ENSG00000186564	ENSG00000186564.6	47438044	47440691	1	FOXD2
ENSG00000171497	ENSG00000171497.5	158709127	158723396	4	PPID
ENSG00000140807	ENSG00000140807.7	50548396	50649249	16	NKD1
ENSG00000116690	ENSG00000116690.13	186296279	186314567	1	PRG4
ENSG00000113312	ENSG00000113312.12	160009113	160065543	5	TTC1
ENSG00000118762	ENSG00000118762.8	88007635	88077777	4	PKD2
ENSG00000011478	ENSG00000011478.13	45692403	45703989	19	QPCTL
ENSG00000166261	ENSG00000166261.11	123723914	123741675	11	ZNF202
ENSG00000177051	ENSG00000177051.6	45710629	45730896	19	FBXO46
ENSG00000167680	ENSG00000167680.17	4542593	4581776	19	SEMA6B
ENSG00000205336	ENSG00000205336.14	57610652	57665580	16	ADGRG1
ENSG00000165006	ENSG00000165006.14	34179005	34252523	9	UBAP1
ENSG00000118777	ENSG00000118777.12	88090150	88231628	4	ABCG2
ENSG00000145808	ENSG00000145808.10	129460281	129738683	5	ADAMTS19
ENSG00000008226	ENSG00000008226.20	38039205	38124025	3	DLEC1
ENSG00000223601	ENSG00000223601.3	22208475	22218015	10	EBLN1
ENSG00000103710	ENSG00000103710.11	65053337	65076690	15	RASL12
ENSG00000145632	ENSG00000145632.15	58453982	58460139	5	PLK2
ENSG00000197961	ENSG00000197961.12	9560329	9584504	19	ZNF121
ENSG00000171204	ENSG00000171204.13	85628573	85636539	11	TMEM126B
ENSG00000205810	ENSG00000205810.9	10412315	10420595	12	KLRC3
ENSG00000197256	ENSG00000197256.11	11164270	11197791	19	KANK2
ENSG00000196526	ENSG00000196526.11	7758714	7939926	4	AFAP1
ENSG00000090470	ENSG00000090470.15	65117379	65133808	15	PDCD7
ENSG00000090612	ENSG00000090612.22	133181409	133214832	12	ZNF268
ENSG00000164976	ENSG00000164976.9	34366666	34376898	9	MYORG
ENSG00000154710	ENSG00000154710.18	66682164	66811464	7	RABGEF1
ENSG00000186638	ENSG00000186638.17	34252380	34329268	9	KIF24
ENSG00000126091	ENSG00000126091.21	43705824	43931165	1	ST3GAL3
ENSG00000173258	ENSG00000173258.13	111525159	111577844	9	ZNF483
ENSG00000138772	ENSG00000138772.13	78551747	78610451	4	ANXA3
ENSG00000261221	ENSG00000261221.4	55605647	55617269	19	ZNF865
ENSG00000185198	ENSG00000185198.12	685546	695498	19	PRSS57
ENSG00000171202	ENSG00000171202.7	85647967	85656547	11	TMEM126A
ENSG00000106853	ENSG00000106853.20	111549722	111599893	9	PTGR1
ENSG00000223443	ENSG00000223443.3	12136435	12138849	8	USP17L2
ENSG00000136573	ENSG00000136573.15	11486894	11564599	8	BLK
ENSG00000146833	ENSG00000146833.16	99876958	99919531	7	TRIM4
ENSG00000142089	ENSG00000142089.17	319676	329475	11	IFITM3
ENSG00000138615	ENSG00000138615.6	65194760	65211473	15	CILP
ENSG00000012232	ENSG00000012232.10	28600469	28756561	8	EXTL3
ENSG00000167483	ENSG00000167483.19	17523301	17553839	19	NIBAN3
ENSG00000151364	ENSG00000151364.17	78015715	78046191	11	KCTD14
ENSG00000172954	ENSG00000172954.14	30447226	30644225	2	LCLAT1
ENSG00000254585	ENSG00000254585.5	23643549	23647867	15	MAGEL2
ENSG00000158525	ENSG00000158525.16	130344816	130368730	7	CPA5
ENSG00000182636	ENSG00000182636.8	23685400	23687305	15	NDN
ENSG00000060971	ENSG00000060971.19	38103129	38137242	3	ACAA1
ENSG00000137819	ENSG00000137819.14	69298912	69407780	15	PAQR5
ENSG00000151365	ENSG00000151365.2	78063861	78068351	11	THRSP
ENSG00000168283	ENSG00000168283.14	22321099	22331484	10	BMI1
ENSG00000185372	ENSG00000185372.4	181123122	181131169	5	OR2V1
ENSG00000127334	ENSG00000127334.11	67648338	67665406	12	DYRK2
ENSG00000113163	ENSG00000113163.19	75356345	75512138	5	CERT1
ENSG00000137818	ENSG00000137818.12	69452814	69456205	15	RPLP1
ENSG00000138759	ENSG00000138759.20	78057323	78544269	4	FRAS1
ENSG00000163072	ENSG00000163072.16	168786539	168865514	2	NOSTRIN
ENSG00000166333	ENSG00000166333.14	6603708	6610874	11	ILK
ENSG00000059769	ENSG00000059769.20	111631334	111654351	9	DNAJC25
ENSG00000132475	ENSG00000132475.10	75776434	75785893	17	H3-3B
ENSG00000242616	ENSG00000242616.4	111661605	111670226	9	GNG10
ENSG00000137807	ENSG00000137807.16	69414246	69448427	15	KIF23
ENSG00000169139	ENSG00000169139.12	48008415	48064708	8	UBE2V2
ENSG00000266265	ENSG00000266265.4	130730697	130734207	7	KLF14
ENSG00000043591	ENSG00000043591.6	114043866	114046904	10	ADRB1
ENSG00000243335	ENSG00000243335.10	66628881	66649067	7	KCTD7
ENSG00000132478	ENSG00000132478.10	75784806	75825799	17	UNK
ENSG00000168672	ENSG00000168672.4	126552443	126558478	8	LRATD2
ENSG00000180535	ENSG00000180535.4	98211439	98215457	7	BHLHA15
ENSG00000198742	ENSG00000198742.10	99027440	99144108	7	SMURF1
ENSG00000096006	ENSG00000096006.12	49727376	49744437	6	CRISP3
ENSG00000165816	ENSG00000165816.13	114239254	114294489	10	VWA2
ENSG00000212993	ENSG00000212993.6	127322183	127420066	8	POU5F1B
ENSG00000132471	ENSG00000132471.12	75845699	75856507	17	WBP2
ENSG00000123908	ENSG00000123908.12	140520156	140635633	8	AGO2
ENSG00000204176	ENSG00000204176.14	46578217	46594173	10	SYT15
ENSG00000186272	ENSG00000186272.13	57411161	57421934	19	ZNF17
ENSG00000120254	ENSG00000120254.16	150865679	151101887	6	MTHFD1L
ENSG00000196589	ENSG00000196589.7	7018969	7021432	19	MBD3L2B
ENSG00000107130	ENSG00000107130.10	130172404	130237303	9	NCS1
ENSG00000126262	ENSG00000126262.5	35443907	35451767	19	FFAR2
ENSG00000155016	ENSG00000155016.18	107931549	107953461	4	CYP2U1
ENSG00000196684	ENSG00000196684.12	16134028	16158575	19	HSH2D
ENSG00000138821	ENSG00000138821.14	102251080	102431258	4	SLC39A8
ENSG00000146574	ENSG00000146574.16	6794134	6826770	7	CCZ1B
ENSG00000204175	ENSG00000204175.6	46541736	46556658	10	GPRIN2
ENSG00000107679	ENSG00000107679.15	122374696	122432354	10	PLEKHA1
ENSG00000283632	ENSG00000283632.4	45212370	45245407	19	EXOC3L2
ENSG00000107957	ENSG00000107957.17	103594027	103855584	10	SH3PXD2A
ENSG00000186523	ENSG00000186523.15	12182096	12194133	8	FAM86B1
ENSG00000166341	ENSG00000166341.9	6621330	6655809	11	DCHS1
ENSG00000126457	ENSG00000126457.22	49675786	49689029	19	PRMT1
ENSG00000111700	ENSG00000111700.13	20810702	20916911	12	SLCO1B3
ENSG00000132481	ENSG00000132481.7	75874164	75878581	17	TRIM47
ENSG00000128815	ENSG00000128815.20	48684873	48982956	10	WDFY4
ENSG00000148120	ENSG00000148120.18	94726699	95087159	9	AOPEP
ENSG00000141569	ENSG00000141569.12	75880335	75896951	17	TRIM65
ENSG00000159063	ENSG00000159063.14	78095244	78139660	11	ALG8
ENSG00000109323	ENSG00000109323.11	102630770	102760994	4	MANBA
ENSG00000136297	ENSG00000136297.15	4905989	4959213	7	MMD2
ENSG00000115504	ENSG00000115504.15	62673851	63046487	2	EHBP1
ENSG00000204316	ENSG00000204316.13	75898644	75905093	17	MRPL38
ENSG00000111271	ENSG00000111271.15	111686053	111757107	12	ACAD10
ENSG00000213760	ENSG00000213760.11	31544444	31548427	6	ATP6V1G2
ENSG00000136237	ENSG00000136237.19	22118236	22357154	7	RAPGEF5
ENSG00000137507	ENSG00000137507.11	76657524	76670747	11	LRRC32
ENSG00000170777	ENSG00000170777.11	6328375	6331891	9	TPD52L3
ENSG00000215343	ENSG00000215343.8	12089338	12115516	8	ZNF705D
ENSG00000136870	ENSG00000136870.11	101398851	101410660	9	ZNF189
ENSG00000078579	ENSG00000078579.9	16992181	17002345	8	FGF20
ENSG00000155970	ENSG00000155970.12	17027238	17122642	8	MICU3
ENSG00000182704	ENSG00000182704.8	76782251	76798153	11	TSKU
ENSG00000160408	ENSG00000160408.16	127885321	127905408	9	ST6GALNAC6
ENSG00000078124	ENSG00000078124.13	76860859	77026797	11	ACER3
ENSG00000167880	ENSG00000167880.8	76004502	76027306	17	EVPL
ENSG00000164932	ENSG00000164932.13	103371538	103382989	8	CTHRC1
ENSG00000087085	ENSG00000087085.16	100889994	100896974	7	ACHE
ENSG00000137203	ENSG00000137203.15	10393186	10419659	6	TFAP2A
ENSG00000028116	ENSG00000028116.18	57907629	58159920	2	VRK2
ENSG00000274349	ENSG00000274349.5	66856426	66932141	9	ZNF658
ENSG00000079462	ENSG00000079462.8	42297033	42303546	19	PAFAH1B3
ENSG00000135063	ENSG00000135063.20	69324567	69392558	9	ENTREP1
ENSG00000166006	ENSG00000166006.14	75040077	75209839	12	KCNC2
ENSG00000257923	ENSG00000257923.12	101815904	102283958	7	CUX1
ENSG00000128833	ENSG00000128833.13	52192322	52295804	15	MYO5C
ENSG00000161270	ENSG00000161270.20	35825372	35869287	19	NPHS1
ENSG00000109332	ENSG00000109332.20	102794383	102868896	4	UBE2D3
ENSG00000198488	ENSG00000198488.10	77034398	77041973	11	B3GNT6
ENSG00000149260	ENSG00000149260.18	77066961	77126155	11	CAPN5
ENSG00000169398	ENSG00000169398.20	140657900	141002216	8	PTK2
ENSG00000171133	ENSG00000171133.4	111327229	111330224	9	OR2K2
ENSG00000215126	ENSG00000215126.11	41131306	41199261	9	ZNG1F
ENSG00000107929	ENSG00000107929.16	806933	931821	10	LARP4B
ENSG00000070444	ENSG00000070444.15	2384073	2401104	17	MNT
ENSG00000189045	ENSG00000189045.15	75611182	75681773	5	ANKDD1B
ENSG00000112782	ENSG00000112782.19	45880827	46080348	6	CLIC5
ENSG00000039139	ENSG00000039139.11	13690328	14011818	5	DNAH5
ENSG00000165806	ENSG00000165806.21	113679162	113730907	10	CASP7
ENSG00000167635	ENSG00000167635.12	36214602	36238771	19	ZNF146
ENSG00000007168	ENSG00000007168.14	2593210	2685615	17	PAFAH1B1
ENSG00000105287	ENSG00000105287.13	46674275	46717127	19	PRKD2
ENSG00000139350	ENSG00000139350.12	96907224	96953780	12	NEDD1
ENSG00000128989	ENSG00000128989.11	52547045	52569883	15	ARPP19
ENSG00000241186	ENSG00000241186.10	46574534	46582457	3	TDGF1
ENSG00000182885	ENSG00000182885.17	57668277	57689378	16	ADGRG3
ENSG00000178038	ENSG00000178038.17	46668995	46693704	3	ALS2CL
ENSG00000137275	ENSG00000137275.16	3063824	3115187	6	RIPK1
ENSG00000198924	ENSG00000198924.8	113834725	113854383	10	DCLRE1A
ENSG00000010017	ENSG00000010017.13	13621498	13711835	6	RANBP9
ENSG00000049167	ENSG00000049167.16	60866454	60945073	5	ERCC8
ENSG00000243244	ENSG00000243244.7	48529383	48598513	2	STON1
ENSG00000148735	ENSG00000148735.16	113751262	113783429	10	PLEKHS1
ENSG00000130340	ENSG00000130340.17	157700387	157945077	6	SNX9
ENSG00000136541	ENSG00000136541.15	157318631	157327713	2	ERMN
ENSG00000078269	ENSG00000078269.15	157981863	158099176	6	SYNJ2
ENSG00000234438	ENSG00000234438.5	65076746	65079948	15	KBTBD13
ENSG00000131873	ENSG00000131873.7	101175727	101252048	15	CHSY1
ENSG00000172292	ENSG00000172292.15	168456249	168775134	2	CERS6
ENSG00000095627	ENSG00000095627.10	114179270	114232666	10	TDRD1
ENSG00000184277	ENSG00000184277.13	101621444	101652391	15	TM2D3
ENSG00000188269	ENSG00000188269.10	14826241	14835185	19	OR7A5
ENSG00000104818	ENSG00000104818.15	49031890	49033238	19	CGB2
ENSG00000121064	ENSG00000121064.13	56978129	57006768	17	SCPEP1
ENSG00000142233	ENSG00000142233.14	48661407	48673081	19	NTN5
ENSG00000184182	ENSG00000184182.19	237966827	238042782	2	UBE2F
ENSG00000111077	ENSG00000111077.18	53046969	53064379	12	TNS2
ENSG00000107816	ENSG00000107816.17	100996618	101007836	10	LZTS2
ENSG00000119138	ENSG00000119138.5	70384604	70414657	9	KLF9
ENSG00000104814	ENSG00000104814.13	38587641	38618882	19	MAP4K1
